                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.85856,                 1.0745,                  1.303,                0.92242,                 1.2257,                 1.3285,                 0.7076,                0.65463,                0.71697,                0.55898,                 0.8054,                0.94777,                 1.2628,                0.87147,                 1.0479,                 1.2971,              0.0008152,              0.0008152,              0.0008152
                     59,                0.85294,                 1.0893,                 1.2988,                0.92941,                 1.2473,                 1.3257,                 0.6986,                0.66624,                0.72172,                0.56791,                0.80258,                 0.8848,                 1.2566,                0.86133,                 1.0093,                 1.2848,              0.0008119,              0.0008119,              0.0008119
                     60,                0.83768,                 1.0648,                  1.289,                0.91006,                 1.2072,                 1.3167,                  0.661,                0.69293,                0.71959,                0.57036,                0.78719,                 0.8791,                 1.2524,                0.85344,                0.98255,                 1.2886,              0.0008086,              0.0008086,              0.0008086
                     61,                0.85202,                 1.0771,                 1.2978,                0.92326,                 1.2271,                 1.3214,                 0.7085,                0.67374,                0.73152,                0.57326,                    0.8,                0.86489,                 1.2592,                0.84844,                0.96684,                  1.284,              0.0008053,              0.0008053,              0.0008053
                     62,                0.82872,                 1.0591,                 1.2835,                0.90287,                 1.1911,                 1.3123,                0.72432,                0.66038,                0.72438,                 0.5692,                0.79329,                0.87496,                 1.2602,                0.85394,                0.98019,                 1.2885,               0.000802,               0.000802,               0.000802
                     63,                0.84637,                 1.0604,                 1.2922,                0.91816,                 1.2017,                 1.3197,                0.72379,                0.65727,                0.73327,                0.57961,                0.78586,                0.89921,                 1.2404,                0.84515,                0.98982,                 1.2773,              0.0007987,              0.0007987,              0.0007987
                     64,                0.84718,                 1.0653,                 1.2901,                0.91908,                 1.2082,                 1.3139,                0.68994,                0.64395,                0.70806,                0.55576,                0.79037,                  0.903,                 1.2485,                0.86072,                  1.001,                 1.2881,              0.0007954,              0.0007954,              0.0007954
                     65,                0.83709,                 1.0335,                 1.2813,                0.90666,                 1.1744,                 1.3019,                0.73664,                0.68407,                0.74611,                0.58264,                0.79819,                0.86192,                 1.2522,                0.85143,                   0.97,                 1.2753,              0.0007921,              0.0007921,              0.0007921
                     66,                0.82435,                 1.0364,                 1.2817,                0.89674,                 1.1845,                 1.3093,                0.70498,                0.68752,                0.74612,                0.59046,                0.77905,                0.84921,                 1.2454,                0.83471,                0.96293,                 1.2721,              0.0007888,              0.0007888,              0.0007888
                     67,                  0.828,                 1.0369,                 1.2763,                0.90007,                 1.1776,                 1.3036,                0.71285,                 0.6674,                0.73721,                0.57959,                0.78027,                0.85183,                 1.2477,                0.83283,                  0.971,                 1.2819,              0.0007855,              0.0007855,              0.0007855
